Wadat   ;Emp;Nbr     ;Empt2   ;Mat               ;Wrk ;Empt3           ;Qty        ;Empt4;Kunnr          ;mvtext                                  ;Vbeln     ;Vbeln1    ;Pcki;Nbrtu     ;Empt5                          ;mvtext1                                 ;Posnr ;Empt6                                                  ;Koli;
00000000;   ;        ;        ;1462114           ;2360;                ;00000000024;     ;0000215344     ;                                        ;2105386707;          ;    ;          ;                               ;                                        ;000004;                                                       ;  0 ;
00000000;   ;        ;        ;1212193           ;2360;                ;00000000060;     ;0000215675     ;                                        ;2105386708;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1212301           ;2360;                ;00000000060;     ;0000215675     ;                                        ;2105386708;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;1462114           ;2360;                ;00000000024;     ;0000215675     ;                                        ;2105386708;          ;    ;          ;                               ;                                        ;000003;                                                       ;  0 ;
00000000;   ;        ;        ;2071102           ;2360;                ;00000000024;     ;0000215675     ;                                        ;2105386708;          ;    ;          ;                               ;                                        ;000004;                                                       ;  0 ;
00000000;   ;        ;        ;9461906           ;2360;                ;00000000014;     ;0000215675     ;                                        ;2105386708;          ;    ;          ;                               ;                                        ;000005;                                                       ;  0 ;
00000000;   ;        ;        ;1252140           ;2360;                ;00000000012;     ;0000215675     ;                                        ;2105386709;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;2241108           ;2360;                ;00000000036;     ;0000215675     ;                                        ;2105386709;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;9254302           ;2360;                ;00000000024;     ;0000215675     ;                                        ;2105386709;          ;    ;          ;                               ;                                        ;000003;                                                       ;  0 ;
00000000;   ;        ;        ;1182101           ;2360;                ;00000000012;     ;0000215310     ;                                        ;2105386710;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1461603           ;2360;                ;00000000024;     ;0000215310     ;                                        ;2105386711;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1461604           ;2360;                ;00000000012;     ;0000215310     ;                                        ;2105386711;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;1461208           ;2360;                ;00000000024;     ;0000215310     ;                                        ;2105386711;          ;    ;          ;                               ;                                        ;000003;                                                       ;  0 ;
00000000;   ;        ;        ;1462114           ;2360;                ;00000000048;     ;0000215310     ;                                        ;2105386711;          ;    ;          ;                               ;                                        ;000004;                                                       ;  0 ;
00000000;   ;        ;        ;1212193           ;2360;                ;00000000010;     ;0000215310     ;                                        ;2105386711;          ;    ;          ;                               ;                                        ;000005;                                                       ;  0 ;
00000000;   ;        ;        ;2071102           ;2360;                ;00000000012;     ;0000215396     ;                                        ;2105386712;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;9254301           ;2360;                ;00000000012;     ;0000215429     ;                                        ;2105386713;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1461208           ;2360;                ;00000000024;     ;0000215189     ;                                        ;2105386714;          ;    ;          ;                               ;                                        ;000001;                                                       ;  0 ;
00000000;   ;        ;        ;1461213           ;2360;                ;00000000030;     ;0000215189     ;                                        ;2105386714;          ;    ;          ;                               ;                                        ;000002;                                                       ;  0 ;
00000000;   ;        ;        ;1461603           ;2360;                ;00000000012;     ;0000215189     ;                                        ;2105386714;          ;    ;          ;                               ;                                        ;000003;                                                       ;  0 ;
00000000;   ;        ;        ;1461604           ;2360;                ;00000000012;     ;0000215189     ;                                        ;2105386714;          ;    ;          ;                               ;                                        ;000004;                                                       ;  0 ;
00000000;   ;        ;        ;1462114           ;2360;                ;00000000024;     ;0000215189     ;                                        ;2105386714;          ;    ;          ;                               ;                                        ;000005;                                                       ;  0 ;
